COGs	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
COG2851	93.2	31.5	30.5	153.5	167.9	208.9	60.1	73.4	38.0	1.3	1.5	1.9	68.0	61.2	76.1	9.9	6.4	3.9
COG2852	0	2.0	4.0	3.6	3.9	12.5	78.1	77.0	8.0	0	0	0	6.3	32.5	24.9	0	0	0
COG2853	106.6	37.1	24.2	26.7	31.4	44.6	60.8	86.6	10.0	1.4	1.6	5.5	67.2	32.1	43.0	9.7	9.4	9.8
COG2854	47.6	34.9	23.3	27.0	18.5	23.9	38.5	116.8	5.5	0	1.0	1.4	55.8	36.6	50.3	1.2	6.7	1.9
COG2855	113.5	11.0	19.4	6.1	107.5	27.5	1.7	2.0	2.7	1.0	0	1.0	26.8	47.5	74.1	5.1	13.6	8.1
COG2856	0	0	0	29.0	13.5	13.4	28.0	1.0	1.6	0	0	2.0	235.3	109.2	211.5	1.0	1.0	1.0
COG2857	61.4	4.2	8.9	18.6	14.4	50.9	21.5	61.3	7.6	3.8	4.7	9.4	44.3	26.3	20.4	15.4	24.1	18.9
COG2859	0	0	0	0	0	0	2.0	4.0	20.0	0	0	0	0	12.0	0	0	1.0	13.0
COG2860	74.4	16.4	22.4	18.0	20.1	46.3	59.7	89.4	7.1	1.9	2.0	1.0	19.8	23.8	20.5	4.5	5.1	6.5
COG2861	52.3	53.2	13.3	20.6	52.1	41.8	73.0	123.0	4.2	0	0	2.4	57.6	49.0	72.7	5.0	15.2	2.7
COG2862	73.3	7.9	8.0	17.5	17.5	37.8	41.0	83.5	4.2	1.0	1.0	2.5	63.8	29.7	49.7	15.1	6.9	6.4
COG2863	103.1	1.8	24.7	28.3	24.9	41.6	45.2	330.5	5.2	2.5	1.1	1.5	46.9	41.5	47.9	2.3	3.4	3.0
COG2864	143.0	0	50.0	8.4	7.3	32.4	18.3	101.9	1.0	1.0	2.0	2.0	64.1	65.9	93.4	2.5	9.0	4.2
COG2865	0	0	0	0	0	0	0	0	8.0	0	0	0	20.4	60.3	7.0	0	6.0	1.5
COG2866	14.1	14.5	11.6	15.4	7.6	52.0	15.4	30.8	9.7	6.9	5.1	5.7	26.1	34.9	35.7	19.5	23.0	21.9
