Genus_id	Kingdom	Phylum	Class	Order	Family	Genus
NOG140489	Bacteria	Proteobacteria	K	K	K	K
NOG140536	Bacteria	Proteobacteria	R	R	R	R
NOG140582	Bacteria	Proteobacteria	T	T	T	T
NOG140635	Bacteria	Proteobacteria	S	S	S	S
NOG140653	Bacteria	Proteobacteria	S	S	S	S
NOG140698	Bacteria	Proteobacteria	S	S	S	S
NOG140864	Bacteria	Proteobacteria	Q	Q	Q	Q
NOG140866	Bacteria	Proteobacteria	R	R	R	R
NOG140875	Bacteria	Proteobacteria	S	S	S	S
NOG140922	Bacteria	Proteobacteria	R	R	R	R
NOG14094	Bacteria	Proteobacteria	S	S	S	S
NOG14097	Bacteria	Proteobacteria	E	E	E	E
NOG141032	Bacteria	Proteobacteria	S	S	S	S
NOG141038	Bacteria	Proteobacteria	S	S	S	S
NOG14105	Bacteria	Proteobacteria	S	S	S	S
NOG141057	Bacteria	Proteobacteria	S	S	S	S
NOG141130	Bacteria	Proteobacteria	S	S	S	S
NOG141204	Bacteria	Proteobacteria	S	S	S	S
NOG14121	Bacteria	Proteobacteria	R	R	R	R
NOG14125	Bacteria	Proteobacteria	R	R	R	R
NOG141250	Bacteria	Proteobacteria	R	R	R	R
NOG141283	Bacteria	Proteobacteria	S	S	S	S
NOG141342	Bacteria	Proteobacteria	S	S	S	S
NOG141359	Bacteria	Proteobacteria	S	S	S	S
NOG141384	Bacteria	Proteobacteria	S	S	S	S
NOG141485	Bacteria	Proteobacteria	S	S	S	S
NOG14155	Bacteria	Proteobacteria	M	M	M	M
NOG141632	Bacteria	Proteobacteria	S	S	S	S
NOG14169	Bacteria	Proteobacteria	S	S	S	S
NOG141780	Bacteria	Proteobacteria	R	R	R	R
NOG141786	Bacteria	Proteobacteria	S	S	S	S
NOG141791	Bacteria	Proteobacteria	S	S	S	S
NOG141808	Bacteria	Proteobacteria	S	S	S	S
NOG14181	Bacteria	Proteobacteria	R	R	R	R
NOG141857	Bacteria	Proteobacteria	R	R	R	R
NOG141866	Bacteria	Proteobacteria	S	S	S	S
NOG141872	Bacteria	Proteobacteria	S	S	S	S
NOG14190	Bacteria	Proteobacteria	K	K	K	K
NOG141932	Bacteria	Proteobacteria	S	S	S	S
NOG14202	Bacteria	Proteobacteria	T	T	T	T
NOG142048	Bacteria	Proteobacteria	S	S	S	S
NOG142049	Bacteria	Proteobacteria	S	S	S	S
NOG142069	Bacteria	Proteobacteria	S	S	S	S
NOG142127	Bacteria	Proteobacteria	S	S	S	S
NOG142147	Bacteria	Proteobacteria	S	S	S	S
NOG142161	Bacteria	Proteobacteria	S	S	S	S
NOG142163	Bacteria	Proteobacteria	S	S	S	S
NOG142165	Bacteria	Proteobacteria	S	S	S	S
NOG14221	Bacteria	Proteobacteria	K	K	K	K
NOG142219	Bacteria	Proteobacteria	S	S	S	S
NOG14228	Bacteria	Proteobacteria	P	P	P	P
NOG14229	Bacteria	Proteobacteria	S	S	S	S
NOG14238	Bacteria	Proteobacteria	V	V	V	V
NOG14243	Bacteria	Proteobacteria	I	I	I	I
NOG142457	Bacteria	Proteobacteria	S	S	S	S
NOG14251	Bacteria	Proteobacteria	R	R	R	R
NOG142546	Bacteria	Proteobacteria	S	S	S	S
NOG14261	Bacteria	Proteobacteria	R	R	R	R
NOG142671	Bacteria	Proteobacteria	S	S	S	S
NOG142684	Bacteria	Proteobacteria	S	S	S	S
NOG142711	Bacteria	Proteobacteria	S	S	S	S
NOG142721	Bacteria	Proteobacteria	S	S	S	S
NOG142827	Bacteria	Proteobacteria	S	S	S	S
NOG142840	Bacteria	Proteobacteria	S	S	S	S
